Date,Time,Latitude,Longitude,Vehicles,Condition,Driver Age,Driver Sex
2022-09-20,HOUR14,39.738237,-104.496115,3.0,Clear,28.0,M
2022-09-21,HOUR8,39.714256,-105.196174,2.0,Clear,25.0,M
2022-09-22,HOUR17,39.7348,-105.16606,4.0,Rain,58.0,M
2022-09-23,HOUR7,39.73062,-105.17076,2.0,Clear,34.0,M
2022-09-24,HOUR6,39.71068,-105.35109,1.0,Clear,40.0,M
2022-09-27,HOUR17,39.73054,-105.17244,2.0,Clear,28.0,M
2022-09-27,HOUR20,39.71797,-105.40025,1.0,Clear,23.0,M
2022-09-29,HOUR2,39.746319,-105.460487,1.0,Clear,25.0,M
2022-09-30,HOUR18,39.7158,-105.1925,2.0,Cloudy,,
2022-10-01,HOUR16,39.73096,-105.17039,1.0,Rain,27.0,M
