Date,Time,Vehicles,CONDITION,Latitude,Longitude,Driver Age,Driver Sex
2015-09-03,1900.0,2,DRY,39.739931,-104.607227,0,U
2015-09-05,1732.0,2,DRY,39.722073,-105.412836,50,M
2015-09-06,1640.0,2,DRY,39.739791,-105.159158,19,M
2015-09-07,1415.0,1,WET,39.731258,-105.4267,33,F
2015-09-08,1345.0,2,DRY,39.730604,-105.17073,28,M
2015-09-08,1600.0,2,DRY,39.730957,-105.170285,46,F
2015-09-08,1621.0,2,DRY,39.733747,-105.166764,35,M
2015-09-11,1345.0,2,DRY,39.708501,-105.196869,27,F
2015-09-12,2358.0,1,DRY,39.714325,-105.192405,41,M
2015-09-14,1452.0,2,DRY,39.739791,-105.159158,31,F
2015-09-14,1558.0,3,DRY,39.721881,-105.1844,70,M
2015-09-16,1600.0,2,DRY,39.744655,-105.487461,29,M
2015-09-17,750.0,2,DRY,39.739791,-105.159158,32,F
2015-09-18,630.0,2,DRY,39.749898,-105.667087,45,M
2015-09-18,830.0,2,DRY,39.743847,-105.48102,48,M
2015-09-18,830.0,2,DRY,39.744138,-105.478923,38,M
2015-09-18,1200.0,2,DRY,39.74635,-105.460842,52,M
2015-09-18,1458.0,3,DRY,39.714951,-105.191925,17,F
2015-09-19,1046.0,2,DRY,39.739791,-105.159158,50,F
2015-09-19,1420.0,2,DRY,39.739791,-105.159158,44,M
2015-09-21,846.0,2,DRY,39.744124,-105.153748,40,M
2015-09-24,1630.0,2,DRY,39.7412,-105.495991,50,M
2015-09-26,1045.0,2,DRY,39.734131,-104.325986,64,F
2015-09-26,1700.0,2,DRY,39.741309,-105.513813,30,M
2015-09-27,1450.0,2,DRY,39.71819,-105.400354,62,M
