Date,Time,Vehicles,Driver Age,Condition_Code,MorF
2015-01-27,20,1,20,0,0
2015-01-28,21,1,46,0,0
2015-01-29,18,1,49,0,1
2015-01-30,13,2,27,0,0
2015-01-30,15,2,39,0,0
2015-01-31,7,2,16,3,0
2015-01-31,19,2,30,0,0
2015-01-31,23,1,33,6,0
2015-02-01,7,1,45,0,0
2015-02-01,11,2,38,0,0
2015-02-01,13,2,22,0,0
2015-02-03,12,4,33,0,0
2015-02-04,7,2,22,3,0
2015-02-04,7,1,28,3,1
2015-02-04,8,1,41,0,0
2015-02-04,9,2,65,5,0
2015-02-04,10,2,19,6,0
2015-02-06,15,2,27,0,0
2015-02-06,18,2,28,0,0
2015-02-06,18,3,28,0,0
2015-02-07,18,2,38,0,0
2015-02-07,18,2,19,0,0
2015-02-08,20,2,54,0,1
2015-02-10,22,1,34,0,0
2015-02-13,9,2,45,0,0
2015-02-13,18,3,62,0,0
2015-02-14,14,2,28,0,0
2015-02-15,16,2,21,6,0
2015-02-15,16,4,42,3,0
2015-02-15,16,3,34,3,0
2015-02-15,16,2,42,3,0
2015-02-15,16,3,52,3,1
2015-02-15,16,2,47,3,0
2015-02-15,16,2,22,0,0
2015-02-15,19,1,25,0,0
2015-02-15,19,1,41,3,1
2015-02-15,21,2,56,6,0
2015-02-15,22,2,18,6,0
2015-02-16,6,1,49,7,1
2015-02-16,17,2,43,3,0
2015-02-17,5,1,33,8,0
2015-02-17,6,1,35,0,1
2015-02-17,7,2,54,3,1
2015-02-19,4,2,26,0,0
2015-02-20,11,2,20,0,1
2015-02-21,14,1,65,6,1
2015-02-21,17,2,21,7,0
2015-02-21,19,2,26,3,1
2015-02-21,19,1,57,3,0
2015-02-21,19,1,33,3,1
2015-02-21,19,2,41,7,1
2015-02-22,7,1,65,0,0
2015-02-22,8,1,30,0,0
2015-02-22,10,2,44,3,0
2015-02-22,12,2,18,5,0
2015-02-22,17,1,36,6,0
2015-02-23,8,2,21,0,1
2015-02-23,10,2,19,0,0
2015-02-23,18,2,49,6,0
2015-02-24,10,1,56,0,1
2015-02-24,12,2,38,0,0
2015-02-24,17,3,43,0,0
2015-02-25,17,1,46,6,0
2015-02-25,20,2,22,6,0
2015-02-26,9,2,78,3,0
2015-02-26,16,1,18,3,0
2015-02-27,0,2,18,6,0
2015-02-27,7,2,31,8,0
2015-02-27,11,1,50,6,1
2015-02-27,11,8,32,5,0
2015-02-27,17,2,46,3,0
2015-02-27,17,3,29,3,1
2015-03-02,5,1,57,3,0
2015-03-02,7,1,20,0,0
2015-03-02,8,2,61,0,1
2015-03-03,22,1,21,6,1
2015-03-03,23,2,40,6,0
2015-03-04,0,1,25,3,0
2015-03-05,18,2,57,0,1
2015-03-06,16,3,23,0,0
2015-03-06,20,2,29,0,0
2015-03-07,10,2,66,0,1
2015-03-07,14,2,48,0,0
2015-03-07,15,3,60,0,0
2015-03-07,15,2,82,0,0
2015-03-07,17,2,20,0,0
2015-03-07,21,2,56,0,0
2015-03-07,21,1,18,0,0
2015-03-08,13,2,63,0,0
2015-03-08,14,2,37,0,1
2015-03-08,17,2,73,0,1
2015-03-09,6,1,38,0,0
2015-03-09,8,2,32,0,1
2015-03-09,9,2,22,0,1
2015-03-13,13,2,16,0,1
2015-03-13,14,2,36,0,1
2015-03-14,0,1,26,3,0
2015-03-14,0,1,32,3,1
2015-03-14,8,2,26,0,0
2015-03-16,22,1,49,0,0
2015-03-24,7,2,25,0,1
2015-03-25,14,2,37,0,0
2015-03-25,15,1,46,3,0
2015-03-28,8,3,57,0,0
2015-03-28,13,1,25,0,1
2015-03-29,15,1,57,0,0
2015-03-29,20,1,21,0,0
2015-03-30,12,2,72,0,0
2015-03-30,16,1,36,0,0
2015-04-01,17,2,24,0,1
2015-04-02,18,2,23,7,1
2015-04-02,19,1,23,0,0
2015-04-02,22,2,36,3,0
2015-04-02,23,1,23,3,1
2015-04-03,16,1,46,0,0
2015-04-04,13,2,25,0,0
2015-04-04,16,2,55,0,0
2015-04-06,20,1,60,0,0
2015-04-07,15,2,45,0,0
2015-04-07,16,2,40,0,1
2015-04-08,19,1,26,0,1
2015-04-08,19,1,25,0,0
2015-04-09,12,2,19,0,0
2015-04-10,13,2,40,0,0
2015-04-10,22,2,48,0,1
2015-04-12,6,1,55,0,0
2015-04-14,7,1,16,0,1
2015-04-16,8,4,37,6,0
2015-04-16,8,7,37,6,0
2015-04-16,9,2,24,5,0
2015-04-16,9,2,50,6,0
2015-04-16,14,2,29,3,1
2015-04-16,19,1,45,3,0
2015-04-16,19,1,27,5,0
2015-04-16,19,2,25,6,0
2015-04-17,8,4,43,3,0
2015-04-17,8,3,41,3,0
2015-04-17,9,2,45,3,0
2015-04-17,21,1,34,3,1
2015-04-18,0,1,32,6,0
2015-04-18,11,2,59,0,1
2015-04-18,12,1,32,3,0
2015-04-18,21,1,54,3,1
2015-04-18,22,1,27,3,1
2015-04-18,23,1,48,3,0
2015-04-23,17,2,80,0,1
2015-04-24,16,2,23,3,1
2015-04-25,0,2,57,0,1
2015-04-26,3,1,33,3,0
2015-04-26,5,2,25,5,0
2015-04-26,5,1,39,5,0
2015-04-26,7,1,31,3,0
2015-04-26,7,1,26,5,1
2015-04-28,9,1,21,0,0
2015-04-28,10,1,29,0,1
2015-04-29,5,2,25,0,0
2015-04-29,8,2,37,0,0
2015-04-29,11,2,58,0,0
2015-04-30,13,1,51,0,0
2015-04-30,16,2,54,0,1
2015-04-30,20,1,75,3,1
2015-05-02,18,2,59,0,0
2015-05-05,13,2,40,3,1
2015-05-05,17,2,35,3,0
2015-05-08,4,1,21,3,0
2015-05-08,12,2,19,3,0
2015-05-09,6,1,30,3,1
2015-05-09,21,1,33,5,0
2015-05-10,7,1,24,5,1
2015-05-13,1,3,45,0,0
2015-05-15,12,1,69,0,0
2015-05-15,13,2,67,5,0
2015-05-17,19,2,38,3,0
2015-05-18,17,1,34,3,0
2015-05-19,9,2,60,3,0
2015-05-22,13,2,45,0,0
2015-05-22,18,1,25,3,0
2015-05-23,18,1,49,3,0
2015-05-24,9,1,27,5,1
2015-05-27,16,2,57,0,1
2015-05-27,21,1,29,3,0
2015-05-29,4,1,62,0,1
2015-05-29,16,2,29,0,0
2015-06-01,4,1,34,0,0
2015-06-01,14,2,62,0,0
2015-06-01,16,2,61,0,0
2015-06-02,2,1,38,0,1
2015-06-03,11,2,38,0,0
2015-06-03,17,2,32,0,1
2015-06-03,20,2,57,3,0
2015-06-04,5,1,50,0,0
2015-06-04,16,2,67,0,0
2015-06-06,8,1,34,0,0
2015-06-06,17,2,57,3,0
2015-06-07,19,1,22,3,1
2015-06-07,20,2,23,3,0
2015-06-08,6,2,31,0,0
2015-06-08,6,2,56,0,0
2015-06-08,12,4,62,0,1
2015-06-09,16,2,22,0,1
2015-06-12,12,2,46,0,0
2015-06-12,18,2,39,0,0
2015-06-15,4,1,36,0,0
2015-06-15,12,1,23,0,0
2015-06-16,16,2,56,0,0
2015-06-16,17,2,23,0,0
2015-06-16,23,1,55,0,0
2015-06-17,14,2,18,0,1
2015-06-18,6,1,19,0,0
2015-06-20,17,2,27,0,0
2015-06-22,20,1,66,0,0
2015-06-23,3,1,25,0,0
2015-06-23,5,1,67,0,0
