SYSTEM,RTE,SEC,MP,DATE,TIME,SEVERITY,LOCATION,ROAD_DESC,VEHICLES,CONTOUR,CONDITION,LIGHTING,LATITUDE,LONGITUDE,AGE_1,SEX_1,DRIVER_1
INTERSTATE,70,A,238.7,3/24/2017,12.0,PDO,OFF RIGHT,NON-INTERSECTION,1,CURVE ON-GRADE,WET,DARK-LIGHTED,39.745054,-105.538248,23,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,240.5,3/24/2017,126.0,INJ,OFF LEFT,NON-INTERSECTION,1,CURVE ON-GRADE,SLUSHY,DARK-LIGHTED,39.740321,-105.504953,21,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,299.34,3/24/2017,527.0,PDO,OFF LEFT,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,WET,DARK-UNLIGHTED,39.738657,-104.526739,24,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,262.59,3/24/2017,1313.0,INJ,ON,RAMP,2,STRAIGHT ON-GRADE,DRY,DAYLIGHT,39.739991,-105.158904,44,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,155.1,3/24/2017,1455.0,INJ,ON,NON-INTERSECTION,2,CURVE ON-LEVEL,DRY,DAYLIGHT,39.70834,-106.692034,48,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,229.3,3/24/2017,1935.0,INJ,ON,NON-INTERSECTION,2,STRAIGHT ON-GRADE,DRY,DAWN OR DUSK,39.734252,-105.689652,74,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,240.2,3/28/2017,1735.0,PDO,OFF LEFT,NON-INTERSECTION,1,CURVE ON-LEVEL,WET,DAYLIGHT,39.741349,-105.510267,31,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,227.4,3/31/2017,2125.0,PDO,OFF RIGHT,NON-INTERSECTION,1,CURVE ON-GRADE,ICY,DARK-UNLIGHTED,39.708281,-105.698871,21,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,240.0,4/1/2017,1444.0,PDO,OFF RIGHT,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.741308,-105.513778,19,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,243.5,4/2/2017,1340.0,PDO,OFF RIGHT,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.743202,-105.452336,25,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,254.0,4/3/2017,720.0,INJ,OFF IN MEDIAN,NON-INTERSECTION,3,STRAIGHT ON-GRADE,DRY,DAYLIGHT,39.709013,-105.286143,53,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,299.2,4/3/2017,845.0,INJ,ON,NON-INTERSECTION,2,STRAIGHT ON-GRADE,DRY,DAYLIGHT,39.738713,-104.529374,67,F,NO IMPAIRMENT SUSPECTED
